category,url,title
International,http://www.thehindu.com/news/international/government-wary-of-firm-action/article20944941.ece,Islamabad wary of firm action?
National,http://www.thehindu.com/news/national/day-in-pictures-november-26-2017/article20944513.ece,"Day in pictures - November 26, 2017"
National,http://www.thehindu.com/news/national/china-condemns-kovinds-arunachal-trip/article20606680.ece,China condemns Kovind’s Arunachal trip
National,http://www.thehindu.com/news/national/decks-cleared-for-rahuls-elevation-as-congress-chief/article20606758.ece,Decks cleared for Rahul’s elevation as Congress chief
National,http://www.thehindu.com/news/national/aadhaar-data-was-never-breached-uidai/article20606708.ece,Aadhaar data was never breached: UIDAI
National,http://www.thehindu.com/news/national/meerut-tense-over-murder-of-rss-cadre/article20606684.ece,Meerut tense over murder of RSS cadre
National,http://www.thehindu.com/news/national/alert-crew-doctors-tackle-mid-air-crisis/article20607188.ece,"Alert crew, doctors tackle mid-air crisis"
International,http://www.thehindu.com/news/international/mugabe-cried-while-agreeing-to-resign/article20945027.ece,Mugabe cried while agreeing to resign: associates
International,http://www.thehindu.com/news/international/pope-preaches-forgiveness-in-first-public-mass-at-myanmar/article21064848.ece,Pope preaches forgiveness in first public Mass at Myanmar
International,http://www.thehindu.com/news/international/china-reiterates-dialogue-after-north-koreas-missile-launch/article21074383.ece,China reiterates dialogue after North Korea’s missile launch
International,http://www.thehindu.com/news/international/donald-trump-retweets-anti-muslim-videos-posted-by-far-right-british-politician-jayda-fransen/article21093087.ece,Donald Trump retweets anti-Muslim videos posted by far-right British politician
International,http://www.thehindu.com/news/international/fcc-head-ajit-pai-goes-after-hollywood-tech-companies/article21093193.ece,"U.S. communications panel chief Ajit Pai goes after Hollywood, tech companies on Net neutrality"
National,http://www.thehindu.com/news/national/keeping-tb-away-with-a-healthy-diet/article20702187.ece,Keeping TB away with a healthy diet
International,http://www.thehindu.com/news/international/un-war-crimes-convict-claims-to-have-taken-poison-in-court/article21084949.ece,Bosnian-Croat war crimes convict dies after taking ‘poison’ in court: Croatian state TV
National,http://www.thehindu.com/news/national/india-expresses-outrage-over-hafiz-saeeds-release/article20704558.ece,India outraged at move to release Hafiz Saeed
International,http://www.thehindu.com/news/international/musharraf-calls-himself-biggest-supporter-of-let-hafiz-saeed/article21076768.ece,"Musharraf calls himself ‘biggest supporter’ of LeT, Hafiz Saeed"
National,http://www.thehindu.com/news/national/congress-urges-president-to-direct-govt-to-summon-parliament/article20706283.ece,Congress urges President to direct govt. to convene Parliament
International,http://www.thehindu.com/news/international/putin-meets-assad-ahead-of-syria-talks/article20628525.ece,Putin meets Assad ahead of Syria talks
International,http://www.thehindu.com/news/international/russia-finds-1000-times-normal-level-of-radioactive-isotope-after-nuclear-accident-claims/article20628609.ece,"Russia finds 1,000-times normal level of radioactive isotope after nuclear accident claims"
International,http://www.thehindu.com/news/international/vast-majority-of-suspects-in-graft-probe-agreeing-to-settlement-crown-prince-says/article20755794.ece,"Vast majority of suspects in graft probe agreeing to settlement, crown prince says"
International,http://www.thehindu.com/news/international/may-govt-pilloried-over-icj-loss/article20628656.ece,Theresa May govt. pilloried over ICJ loss
International,http://www.thehindu.com/news/international/uk-citizens-torture-in-india-unconstitutional/article20628553.ece,‘U.K. citizen’s torture in India unconstitutional’
International,http://www.thehindu.com/news/international/south-african-appeals-court-more-than-doubles-pistorius-sentence/article20760149.ece,South Africa's appeals court more than doubles Pistorius' sentence
International,http://www.thehindu.com/news/international/amnesty-accuses-myanmar-of-imposing-apartheid-on-rohingya/article20628784.ece,Amnesty accuses Myanmar of imposing 'apartheid' on Rohingya
International,http://www.thehindu.com/news/international/bomb-blast-near-egypts-mosque-injures-75/article20787090.ece,"Bomb blast, firing in Egypt mosque kill 235, injure 109"
International,http://www.thehindu.com/news/international/cheering-zimbabweans-greet-countrys-new-leader-mnangagwa/article20779022.ece,Cheering Zimbabweans greet country’s new leader Mnangagwa
International,http://www.thehindu.com/news/international/hafiz-saeed-calls-nawaz-sharif-a-traitor-for-seeking-peace-with-india/article20787782.ece,Hafiz Saeed vows to continue Kashmir struggle
International,http://www.thehindu.com/news/international/us-calls-for-arrest-of-hafiz-saeed/article20788888.ece,"Arrest Hafiz Saeed and charge him for his crimes, U.S. tells Pakistan"
International,http://www.thehindu.com/news/international/un-yugoslav-tribunal-orders-independent-review-of-praljak-death/article21242780.ece,U.N. Yugoslav tribunal orders independent review of Praljak death
International,http://www.thehindu.com/news/international/skin-in-the-game-philippine-students-protest-duterte-in-naked-run/article21242923.ece,Skin in the game: Philippine students protest Duterte in naked run
International,http://www.thehindu.com/news/international/10-killed-in-apartment-fire-in-chinas-port-city-tianjin/article21242971.ece,10 killed in apartment fire in China’s port city Tianjin
International,http://www.thehindu.com/news/international/argentina-says-it-may-have-received-signals-from-missing-submarine/article20555355.ece,Argentina says it may have received signals from missing submarine
